blackhole-clmm on Avalanche | APY: 541.2584% | TVL: $994,737 | Pair: ['0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7', '0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e']
morpho-blue on Arbitrum | APY: 297995.79868% | TVL: $958,235 | Pair: ['0xaf88d065e77c8cC2239327C5EDb3A432268e5831']
aerodrome-slipstream on Base | APY: 120.62687% | TVL: $921,393 | Pair: ['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913', '0xC729777d0470F30612B1564Fd96E8Dd26f5814E3']
pancakeswap-amm-v3 on Ethereum | APY: 160.47055% | TVL: $913,883 | Pair: ['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xdac17f958d2ee523a2206206994597c13d831ec7']
uniswap-v4 on Ethereum | APY: 298.13141% | TVL: $837,984 | Pair: ['0x0000000000000000000000000000000000000000', '0xf280b16ef293d8e534e370794ef26bf312694126']
aerodrome-slipstream on Base | APY: 138.30084% | TVL: $832,146 | Pair: ['0x4200000000000000000000000000000000000006', '0x63706e401c06ac8513145b7687A14804d17f814b']
uniswap-v4 on Ethereum | APY: 282.92799% | TVL: $813,430 | Pair: ['0x23878914efe38d27c4d67ab83ed1b93a74d4086a', '0xdac17f958d2ee523a2206206994597c13d831ec7']
cetus-clmm on Sui | APY: 105.49636% | TVL: $801,201 | Pair: ['0xdeeb7a4662eec9f2f3def03fb937a663dddaa2e215b8078a284d026b7946c270::deep::DEEP', '0x0000000000000000000000000000000000000000000000000000000000000002::sui::SUI']
uniswap-v2 on Ethereum | APY: 105.90583% | TVL: $799,305 | Pair: ['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xf8ebf4849f1fa4faf0dff2106a173d3a6cb2eb3a']
hyperion on Aptos | APY: 136.26575% | TVL: $795,836 | Pair: ['0x81214a80d82035a190fcb76b6ff3c0145161c3a9f33d137f2bbaee4cfec8a387', '0xf599112bc3a5b6092469890d6a2f353f485a6193c9d36626b480704467d3f4c8']
uniswap-v4 on Base | APY: 145.88432% | TVL: $784,612 | Pair: ['0x4200000000000000000000000000000000000006', '0x5f980dcfc4c0fa3911554cf5ab288ed0eb13dba3']
aerodrome-slipstream on Base | APY: 202.35804% | TVL: $716,155 | Pair: ['0x311935Cd80B76769bF2ecC9D8Ab7635b2139cf82', '0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf']
uniswap-v4 on Ethereum | APY: 166.86897% | TVL: $715,762 | Pair: ['0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0xc20059e0317de91738d13af027dfc4a50781b066']
aerodrome-slipstream on Base | APY: 21751.62578% | TVL: $715,302 | Pair: ['0x696F9436B67233384889472Cd7cD58A6fB5DF4f1', '0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913']
uniswap-v4 on Base | APY: 154.84227% | TVL: $707,659 | Pair: ['0x26e6e2e7a9289b6485c53cd498de510d3a8c8ba3', '0x4200000000000000000000000000000000000006']
uniswap-v3 on Arbitrum | APY: 368.51103% | TVL: $698,056 | Pair: ['0x82af49447d8a07e3bd95bd0d56f35241523fbab1', '0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8']
aerodrome-slipstream on Base | APY: 1582.43285% | TVL: $695,120 | Pair: ['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913', '0x9EadbE35F3Ee3bF3e28180070C429298a1b02F93']
aerodrome-slipstream on Base | APY: 112.48197% | TVL: $689,426 | Pair: ['0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b', '0x4200000000000000000000000000000000000006']
aerodrome-slipstream on Base | APY: 202.83068% | TVL: $660,275 | Pair: ['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913', '0x9126236476eFBA9Ad8aB77855c60eB5BF37586Eb']
uniswap-v3 on Ethereum | APY: 101.4526% | TVL: $655,239 | Pair: ['0x0d438f3b5175bebc262bf23753c1e53d03432bde', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']
aerodrome-v1 on Base | APY: 12850.42068% | TVL: $649,308 | Pair: ['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913', '0x9B5E262cF9bb04869ab40b19AF91D2dc85761722']
zeebu on BSC | APY: 767553.43815% | TVL: $620,959 | Pair: ['0x4D3dc895a9EDb234DfA3e303A196c009dC918f84']
uniswap-v3 on Ethereum | APY: 142.33183% | TVL: $620,749 | Pair: ['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xcab254f1a32343f11ab41fbde90ecb410cde348a']
uniswap-v4 on Ethereum | APY: 636.69596% | TVL: $590,309 | Pair: ['0x0000000000000000000000000000000000000000', '0xc20059e0317de91738d13af027dfc4a50781b066']
morpho-blue on Ethereum | APY: 819.12731% | TVL: $575,451 | Pair: ['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48']
morpho-blue on Ethereum | APY: 154.94357% | TVL: $567,224 | Pair: ['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48']
aerodrome-slipstream on Base | APY: 752.49558% | TVL: $561,807 | Pair: ['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913', '0xe62bfbE57763ec24c0F130426F34DbCe11Fc5B06']
aerodrome-slipstream on Base | APY: 285.45738% | TVL: $561,188 | Pair: ['0x4200000000000000000000000000000000000006', '0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913']
uniswap-v4 on Base | APY: 104.84279% | TVL: $561,048 | Pair: ['0x16332535e2c27da578bc2e82beb09ce9d3c8eb07', '0x4200000000000000000000000000000000000006']
aerodrome-slipstream on Base | APY: 6101.50852% | TVL: $543,924 | Pair: ['0x0C1c1C109FE34733fca54b82d7B46B75CFb71F6e', '0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913']
aerodrome-slipstream on Base | APY: 284.7686% | TVL: $523,903 | Pair: ['0x16EE7ecAc70d1028E7712751E2Ee6BA808a7dd92', '0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913']
